tinestamp,car1_utm_x,car1_utm_y,car1_vel,car1_accel,car1_yaw,car2_utm_x,car2_utm_y,car2_vel_x,car2_vel_y,car2_accel,car2_yaw,estimate_utm_x,estimate_utm_y,estimate_vel_x,estimate_vel_y,estimate_accel,estimate_yaw
1609832179,60205.80824,2974186.327,-0.39542174,-0.402984619,2.034440517,60199.73009,2974199.367,0.008272313,0.01093709,0.020046631,2.007196084,60200.06572,2974198.604,0.014748142,0.008408294,-0.467218216,#NAME?
1609832179,60205.79432,2974186.36,-0.438121762,-0.401763916,2.03444314,60199.731,2974199.368,0.00927055,0.011652037,0.037136475,2.007210465,60200.06862,2974198.599,0.005861242,0.011803879,-0.440191606,#NAME?
1609832179,60205.77727,2974186.4,-0.482402774,-0.481567383,2.034774303,60199.7321,2974199.369,0.011187367,0.012481645,0.074673096,2.007232303,60200.06773,2974198.623,0.041353334,0.01440301,-0.421319275,#NAME?
1609832179,60205.75259,2974186.458,-0.527246087,-0.46295166,2.034997463,60199.73335,2974199.371,0.012821998,0.014410047,0.022640625,2.007317524,60200.08442,2974198.587,0.008747099,-0.017477156,-0.436549645,#NAME?
1609832179,60205.73164,2974186.508,-0.563599281,-0.480194092,2.035353422,60199.73472,2974199.372,0.013807057,0.015767302,-0.00375708,2.007295686,60200.07495,2974198.599,0.020316465,-0.027059273,-0.481058865,#NAME?
1609832179,60205.7113,2974186.545,-0.642063555,-0.581665039,2.035437584,60199.73621,2974199.374,0.014603944,0.016039629,0.029201904,2.007301545,60200.07961,2974198.593,0.001409084,-0.018836929,-0.502138684,#NAME?
1609832179,60205.68241,2974186.598,-0.742923768,-0.866699219,2.035785437,60199.73522,2974199.372,0.003505037,0.004653558,0.027676025,2.007313796,60200.09157,2974198.582,-0.00876369,-0.034880975,-0.551034564,#NAME?
1609832179,60205.6564,2974186.648,-0.853979163,-1.063537598,2.036142826,60199.73169,2974199.369,0.004748575,0.007064988,0.021725098,2.007303676,60200.07745,2974198.538,-0.044325894,0.008566049,-0.577822601,#NAME?
1609832179,60205.6102,2974186.749,-0.965456551,-1.179962158,2.036543846,60199.7283,2974199.365,0.006052415,0.007544241,0.061245361,2.007348949,60200.05862,2974198.553,0.028128933,0.029625171,-0.6570338,#NAME?
1609832180,60205.56931,2974186.838,-1.069366293,-1.15234375,2.037275553,60199.729,2974199.366,0.007406298,0.008530993,0.046291748,2.007336699,60200.08512,2974198.532,0.029353907,0.008571533,-0.704893718,#NAME?
1609832180,60205.53337,2974186.916,-1.165582513,-1.02645874,2.037858963,60199.72982,2974199.367,0.008365373,0.010443972,-0.023898682,2.007321252,60200.11804,2974198.514,0.034313958,-0.107441464,-0.87703297,#NAME?
1609832180,60205.48488,2974187.021,-1.240459849,-0.936431885,2.038450718,60199.73075,2974199.368,0.009717673,0.01179511,-0.001773438,2.007295153,60200.10284,2974198.529,0.03414641,-0.163432222,-0.914453449,#NAME?
